Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      ,Twitter, #Nature #Park                            ,15,30,USA,2023,1,15,12
 traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
 just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40,USA,2023,1,15,15
 excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
 trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
 feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
 rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
 the new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30,USA,2023,1,16,19
 political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30,60,USA,2023,1,17,8
 missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
 just published a new blog post. check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
 feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
 exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
" new year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55,USA,2023,1,18,18
